field,description,data_type,source
tackle_for_loss_2_player_name,String name for one of the potential players with the tackle for loss.,,nflfastR::field_descriptions
tackle_with_assist,Binary indicator for if there has been a tackle with assist.,,nflfastR::field_descriptions
tackle_with_assist_1_player_id,Unique identifier of one of the players with a tackle with assist.,,nflfastR::field_descriptions
tackle_with_assist_1_player_name,String name of one of the players with a tackle with assist.,,nflfastR::field_descriptions
tackle_with_assist_1_team,Team of one of the players with a tackle with assist.,,nflfastR::field_descriptions
tackle_with_assist_2_player_id,Unique identifier of one of the players with a tackle with assist.,,nflfastR::field_descriptions
tackle_with_assist_2_player_name,String name of one of the players with a tackle with assist.,,nflfastR::field_descriptions
tackle_with_assist_2_team,Team of one of the players with a tackle with assist.,,nflfastR::field_descriptions
tackled_for_loss,Binary indicator for whether or not a tackle for loss on a run play occurred.,,nflfastR::field_descriptions
td_player_id,Unique identifier of the player who scored a touchdown.,,nflfastR::field_descriptions
td_player_name,String name of the player who scored a touchdown.,,nflfastR::field_descriptions
td_prob,Predicted probability of the posteam scoring a TD next.,,nflfastR::field_descriptions
td_team,String abbreviation for which team scored the touchdown.,,nflfastR::field_descriptions
temp,The temperature at the stadium only for 'roof' = 'outdoors' or 'open'.(Source: Pro-Football-Reference),,nflfastR::field_descriptions
